,country_name,iso3c,iso2c,world_region,floodpop_ghsl_rural,floodpop_ghsl_semiurban,floodpop_ghsl_urban,floodpop_gridpop3_rural,floodpop_gridpop3_semiurban,floodpop_gridpop3_urban,floodpop_hrsl_rural,floodpop_hrsl_semiurban,floodpop_hrsl_urban,floodpop_ghsl_tot,floodpop_gridpop3_tot,floodpop_hrsl_tot,bias_factor
152,South Africa,ZAF,SF,Africa,18328.66055,7608.664767,92473.5769,0,0,0,17560.40469,10540.06401,160069.7339,118410.9022,92473.5769,188170.2026,1.589129034
153,Spain,ESP,SP,Europe,57064.82843,64914.43243,76471.66136,0,0,0,45271.55233,47520.94505,63548.80922,198450.9222,76471.66136,156341.3066,0.787808416
154,Sri Lanka,LKA,CE,S Asia,88084.03991,53329.73687,28032.21497,0,0,0,19776.71936,22718.49446,19873.1511,169445.9918,28032.21497,62368.36492,0.368072235
155,St Kitts & Nevis,KNA,SC,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,NA
156,St Vincent & the Grenadines,VCT,VC,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,NA
157,Suriname,SUR,NS,South America,186.2546417,0,0,0,0,0,46.86949534,0,0,186.2546417,0,46.86949534,0.251642026
158,Swaziland,SWZ,WZ,Africa,114.1094027,1308.122071,0,0,0,0,18.91610518,0,0,1422.231474,0,18.91610518,0.0133003
159,Switzerland,CHE,SZ,Europe,16847.01019,51269.72398,18676.59531,0,0,0,15444.73912,48125.02674,18178.89237,86793.32948,18676.59531,81748.65823,0.941877201
160,Taiwan,TWN,TW,E Asia,36585.25012,35134.59352,14016.25475,0,0,0,58028.27807,31903.92602,13790.12967,85736.09839,14016.25475,103722.3338,1.209786026
161,Tajikistan,TJK,TI,Central Asia,2237.560964,14036.50998,2148.266703,0,0,0,4165.36418,2200.805818,1869.275266,18422.33765,2148.266703,8235.445264,0.447035844
162,Tanzania,TZA,TZ,Africa,139684.8018,179275.8954,59084.25201,0,0,0,56578.29442,8919.179601,81490.27075,378044.9492,59084.25201,146987.7448,0.388810233
