iso2c,country,fpop_rate,pop2000,pop_2000_all_rural,pop_2000_all_semiurban,pop_2000_all_urban,pop2000_flood,pop_2000_flood_rural,pop_2000_flood_semiurban,pop_2000_flood_urban,pop_2000_nonflood_rural,pop_2000_nonflood_semiurban,pop_2000_nonflood_urban,popdelta,pop_delta_all_rural,pop_delta_all_semiurban,pop_delta_all_urban,pdelta_flood,pop_delta_flood_rural,pop_delta_flood_semiurban,pop_delta_flood_urban,pop_delta_nonflood_rural,pop_delta_nonflood_semiurban,pop_delta_nonflood_urban,region,iso3c,bias_factor,hrsl_data,region_mean_bias,region_sd_bias
US,United States,1.013717888,130721711.5,36067148.06,31566487.39,63088076.06,263814.8587,47636.73375,36383.45986,179794.6651,36019511.32,31530103.93,62908281.4,5128794.831,1571982.223,2022080.876,1534731.732,10492.62045,3630.772927,2870.474488,3991.373033,1568351.45,2019210.401,1530740.359,Northern America,USA,0.93927076,Y,0.93927076,0
CA,Canada,0.155228313,9145942.323,3038295.08,1965292.282,4142354.961,158.5516025,158.5516025,0,0,3038136.528,1965292.282,4142354.961,2325125.564,458292.5372,498177.3111,1368655.716,6.256904515,6.256904515,0,0,458286.2803,498177.3111,1368655.716,Northern America,CAN,0.93927076,N,0.93927076,0
CA,Canada,0,83724.29722,47404.34899,36319.94823,0,0,0,0,0,47404.34899,36319.94823,0,5414.46027,3586.749812,1827.710458,0,0,0,0,0,3586.749812,1827.710458,0,Northern America,CAN,0.93927076,N,0.93927076,0
CA,Canada,0,403.5734082,403.5734082,0,0,0,0,0,0,403.5734082,0,0,95.59531381,95.59531381,0,0,0,0,0,0,95.59531381,0,0,Northern America,CAN,0.93927076,N,0.93927076,0
CA,Canada,0,8470.604172,8470.604172,0,0,0,0,0,0,8470.604172,0,0,2590.141376,2590.141376,0,0,0,0,0,0,2590.141376,0,0,Northern America,CAN,0.93927076,N,0.93927076,0
US,United States,0,1283926.144,626997.6052,429408.7935,227519.7448,0,0,0,0,626997.6052,429408.7935,227519.7448,267201.8854,137345.5871,87194.49052,42661.80784,0,0,0,0,137345.5871,87194.49052,42661.80784,Northern America,USA,0.93927076,Y,0.93927076,0
CA,Canada,0,83873.79703,55692.0072,28181.78983,0,0,0,0,0,55692.0072,28181.78983,0,19306.94974,8246.956707,11059.99303,0,0,0,0,0,8246.956707,11059.99303,0,Northern America,CAN,0.93927076,N,0.93927076,0
CA,Canada,0,5230336.673,914392.954,1156185.636,3159758.083,0,0,0,0,914392.954,1156185.636,3159758.083,1128310.974,93908.20309,187271.2314,847131.5392,0,0,0,0,93908.20309,187271.2314,847131.5392,Northern America,CAN,0.93927076,N,0.93927076,0
US,United States,0.738940747,21062367.2,5872405.853,6623580.285,8566381.061,1852.206639,1079.248073,772.9585655,0,5871326.605,6622807.327,8566381.061,4629821.185,1061200.093,1604760.883,1963860.209,300.8542075,48.01873731,252.8354702,0,1061152.074,1604508.047,1963860.209,Northern America,USA,0.93927076,Y,0.93927076,0
US,United States,0.55621966,54824301.6,5672743.512,8428224.605,40723333.48,6453.683918,4888.042564,1410.398484,155.2428698,5667855.47,8426814.206,40723178.24,10705321.2,1264560.467,2363241.184,7077519.549,700.9396392,74.96073603,593.5243544,32.45454884,1264485.506,2362647.66,7077487.095,Northern America,USA,0.93927076,Y,0.93927076,0
BL,Bolivia,0,8803862.576,2355197.557,2113170.002,4335495.018,0,0,0,0,2355197.557,2113170.002,4335495.018,2514818.316,416989.9413,791381.3696,1306447.005,0,0,0,0,416989.9413,791381.3696,1306447.005,South America,BOL,0.346068781,Y,0.586684322,0.260603661
